,text_data,sentiment,label
17,"Selalu cinta sama aplikasi musik satu ini. Ga pernah nyesel dari dulu pake spotify premium, pokoknya bintang 5 deh buat spotify 🫶🏻",1,Positive
18,Sangat bagus dan lagunya juga saya suka aplikasi ini,1,Positive
19,Banyak lagu nya walaupun kadang ga lengkap,0,Negative
22,"Liriknya ilang kemana sialan, yakali harus uninstal terus instal lagi baru bisa muncul liriknya ? Benerin lah kalo waktu ada update developer tercintaaaa!!!!!",0,Negative
24,"spotify, tolong bgt iklan podcast horrornya di hilangkan. banyak org yg ga nyaman, termasuk saya. terima kasih.",0,Negative
25,Maaf ya gak bisa berlangganan hehehe...gpp dengerin iklan it's okay laah,0,Negative
26,Maaf ya gak bisa berlangganan hehehe...gpp dengerin iklan it's okay laah,0,Negative
27,Terimakasih Spotify udah bikin hari² saya lbih berwarna dengan isi lagu² yng sesuai dngan isi hati,1,Positive
28,Saya sudah membuat jempol bawah pada iklan yang saya tidak suka tetapi masih saja muncul. Mohon diperbaiki,0,Negative
29,"Hampir semua login saya pakai namun tetap ada tulisan ""terjadi kesalahan"" atau ""ada kesalahan"" jika tidak diperbaiki sayang sekali aplikasi buruk semoga cepat tutup",0,Negative
30,"tolong dong warna tampilan spotify nya bisa di ganti kayak warna putih, pink atau biru jangan warna hitam doang:(",0,Negative
31,Mls bnget iklan makin bnyak dan durasi ny lumayan tpi setiap 1 lagu psti ad iklan gaenak bnget kek gtui,0,Negative
32,Makin kesini makin jelek aja spotify,0,Negative
34,"Spotify bohong kah, perasaan di iklannya ""dengarkan musik secara gratis"", isinya rata rata berbayar, apalagi yang mode shuffle, sangat menggangu sekali, saya ingin mendengarkan lagu playlist saya, malah yang di putar lagu lain, kalau mau off shuffle harus bayar, kalo gitu namanya bukan gratis",0,Negative
35,"ngambil untung banget, masa mau milih lagu yang kita mau harus bayar dulu padahal sebelumnya ga gitu, mana dipilihin acak lagi.",0,Negative
36,"Woi bisa ga si iklan nya jangan horor,kan jadi merinding kalo dengerin musik pas malem""😭😭",0,Negative
37,Aku suka banget lagunya semua deh,1,Positive
38,"Kecewa berat, dulu Spotify bagus banget, sekarang drastis turun banget... banget Bukannya dengerin lagu malah kebanyakan dengerin iklan,trs iklan horor, podcast yang terkadang ga guna bagi pendengarnya. Setiap dengar 1 lagu, terusss aja iklan yang ga guna Bisa ga sih Spotify ya walaupun gak langganan buat Napa dengerin lagu lebih enak, jangan lah kebanyakan iklan Pendengar malah jadi risih Jan terlalu banyak ngambil keuntungan kali lah, berbayar nya mahal bangetttt,,, Dh gitu lyrics nya ga ada",0,Negative
39,saya sudah lama pakai spotify dan ga masalah kalo ada iklan. tapi semakin kesini kok iklannya ngeselin yaa. banyak iklan podcast horor yang bikin parno kalo pas sendirian. biasanya sy buka playlist buat healing apalagi kalo mau tidur eh muncul iklan begituan yang tadinya dah mau tidur malah melek lagi.,0,Negative
40,"sangat bagus untuk mengisi waktu luang dan saya itu termasuk orang yang music 24/7 tapi tolonglah buat spotify supaya iklannya jangan kebanyakan. ITU SANGAT MENGGANGGU setiap 1 lagu dan beralih ke lagu lain selalu iklan. padahal waktu pertama kali menggunakan aplikasi ini iklan di setiap 3/4 lagu. TAPI SEKARANG IKLAN DI SETIAP LAGU DAN MENGGANGGU SEKALI, TOLONGLAH DIKURANGIN KLO BISA DIHILANGKAN SEKALIAN. *SEKARANG BERTAMBAH LAGI KENDALANYA YAITU LIRIK PADA LAGU JADI HILANG",0,Negative
41,"Aplikasi nya bagus tapi di hp saya ga bisa dibuka awalnya pas pertama kali download bisa dibuka tapi karena lama tidak di gunakan akhirnya jadi banyak tulisan "" tidak ada koneksi "" padahal kuota saya ada dan sinyal pun bagus dan sempat saya uninstal untuk saya download lagi tapi tetap tidak mau daftar atau masuk ke akun yang lama alasan nya masih sama "" tidak ada koneksi"" dimohon saran nya gimana cara benerin nya",0,Negative
42,"Puas sekali dengan aplikasi ini,,mantap luarbiasa",1,Positive
43,keren...apalagi kalo gratis tanpa iklan 😂,1,Positive
45,kenapa saat mau beli paket premium selalu gagal?,0,Negative
46,Overall udah bagus tapi sayang nya bebarapa lagu ga bisa nampilin lirik,0,Negative
47,Gak bisa lagi menampilkan lirik kenapa ya,0,Negative
48,Ini lugu lagu nya bagus bangat macam apaplikasi lain,1,Positive
49,Baguss bisa dengar lagu yg kami sukaa makasih Spotify:,1,Positive
50,Apaan sih ni aplikasi dikit dikit premium padahal tinggal di gratisin aja kenapa harus beli coba 😡😡🤬,0,Negative
51,Apaan sih ni aplikasi dikit dikit premium padahal tinggal di gratisin aja kenapa harus beli coba 😡😡🤬,0,Negative
52,Banyak lagu yang liriknya di sensor/dihilang kan,0,Negative
53,Senwng bgt sama aplikasi ini adalah yg terbaik dari yg lain thank you for spotify,1,Positive
54,"Aplikasi jelek.. kebanyakan iklan, susah login, lagu ga lengkap.. setidaknya iklan 15 detik lah masak 1 menit",0,Negative
55,"mau ke premium gabisa² pdhal internet lancar, tpi gabisa². maless iklannyaa banyak bgt",0,Negative
56,"Mantap keren ah, yang ku suka lagunya ada disini semua makasih spotify semoga harimu bahagia selalu dan rezeki melimpah buat developernya🤗🤗🤗 ❤💕 🤲🤲",1,Positive
57,"Kebanyakan iklan, mentang2 saya tidak pakai premium, setiap lagu iklan 2x",0,Negative
58,Pemutar lagu paling komplit dan lengkap.semua lagu apa saja ada disini,1,Positive
61,Aku beli permium 7 hari tapi ga kehitung padahal udah ngurang,0,Negative
62,bug sudah hilang di aplikasi.....mantap spotify....,0,Negative
63,ko gabisa perbarui premiumnya ya? halamannya stuck mulu setelah mau ke metode bayar,0,Negative
64,Payah tiap mau bayar premium keluar sendiri melulu,0,Negative
66,Meskipun gratisan liriknya dibikin available dong spotify? Padahal dulu bisa2 ajatuh :(,0,Negative
69,Bagus aplikasinya untuk santai dengar musik,1,Positive
70,Menyenangkan dan menjadi pilihan mendengarkan musik disetiap suasana,1,Positive
71,Iklannya makin banyak mana GK bisa di skip lagi,0,Negative
73,Maap satu bintang aja soalnya tiap ganti lagu ada iklan. Pengen rileks denger lagu malah jadi emosi!,0,Negative
74,PLIS semua2 harus premium aku jadi gak enak denger lagu apa lagi gak ada lirik+iklan 2× iklan horor banyak yang takut sama iklannya ngotak asu kita semua capek denger iklan ketuk banner ketuk banner Halah bacot percuma premium cuma sebulan minimal 5bulan terusan juga pemutaran lagi cuma bisa 6× dalam sejam PELIT banget sumpah Mohon di perbaiki,0,Negative
75,"hadeh mulai aneh nii, masa tiba tiba akun spotify gue gabisa login udah di coba berkali kali eror aneh bat",0,Negative
76,"udh la iklannya banyak,skrng ga bisa liat semua lirik lagunya trus apa"" harus premium kan kek anj",0,Negative
77,Bagus banget karna fitur² nya yang banyak dan tidak ada bug sekalipun,1,Positive
78,Kenapa si sekarang trouble terus? Mau beli premium gabisa :( plis deh gue kangen pengen dengerin mbak taylor wkwk,0,Negative
79,"Bagus Sih, Cuma Harus Premium Untuk Mendapatkan Kenyamanan Saat Mendengarkan Musik jadi gak banyak iklan nya 🥲",1,Positive
80,"iklan podcast horor itu sangat mengganggu, tidak apa-apa jika iklan yang lain, tapi iklan podcast horor besok pagi itu benar-benar tidak nyaman!!!!!!!!!",0,Negative
81,"Spotify nya cmn mslh dibagian lirik yg banyak TDK tersedia dan waktu saya masuk, jaringan [Wi-Fi] saya stabil dan bagus tetapi pas masuk dibilangnya jaringan saya ""OFFLINE"" kan aneh, gmansi sih perbaikij dong",0,Negative
82,"Banyak lagu"" yg menarik dan bagus",1,Positive
83,"Niat nya dengerin lagu biar ga takut, malahan iklannya tentang podcast horor Mulu, cara ilanginnya gimana ya",0,Negative
84,awalnya bagus tapi lama kelamaan jadi sering nge lag parah,0,Negative
85,"Sangat simpel, bermanfaat n komplit bgt guys",0,Negative
86,Tidak bisa beli paket segera perbaiki layanan.. Saya byr pake Telkomsel saya knp g bisa,0,Negative
87,Lope banyak banyak untuk Spotify pas banget ngeliat foto crush tiba tiba yg keplay lagunya Nadhif penjaga hati✨,1,Positive
88,Apa ini banyak iklan dah gitu mau ke premium ga bisa selalu keluar sendiri,0,Negative
89,"dikit dikit iklan, ini itu harus premium, enakan Spotify lama, pembuat Spotify kehabisan duit ya? ini itu harus premium hadehh",0,Negative
90,"kenapa harus pake batasan si? biasanya ngga. kecewa sama spotify skrng mendingan spotify dulu deh ga ada batasan apalagi skrng lirik ga ada di lagu lagu tertentu padahal itu lagu yg sering saya putar berulang ulang, kenapa harus gini?? demi kenyamanan pengguna yg lain juga, update lah yg menguntungkan kedua belah pihak kalau updatenya kaya gini yg untung cuma pihak spotify doang apa apa harus premium, tau si spotify premium murah tpi buat orang orang di pelosok susah buat bayarnya",0,Negative
91,GK jelas mau pilih lagu yg pengen di dengar malah lagu yg lain yg di putar,0,Negative
93,Apa yang terjadi dengan liriknya?(setiap pembelian premium selalu tidak dapat memuat lirik lagunya),0,Negative
94,Udah bagus tapi kurangin iklan lah gw tau iklan itu sumber cuan juga tapi jangan banyak banyak lah tolong 🙏,0,Negative
95,"sbelumnya bagus suka bgt dengerin disini, tp kok semenjak lirik gabisa muncul jdi males ya, liriknya keseringan gabisa muncul cmn ada beberap lirik yang terlihat tp banyak lagu yg tidak ada lirik. plis help me",0,Negative
97,karna dapat di dengar dimanasaja dan kapan saja,1,Positive
99,-Kebanyakan iklan padahal memutar lagunya hanya 1-3 Dah itu 😡,0,Negative
100,Gbisa nyimpen lagu buat didengar offline kecuali ngmbil yg premium,0,Negative
101,Lagunya udah ada tulisan (Lyrics) tapi tetep gak ada liriknya,0,Negative
102,Iklan podcast horor menganggu nggak butuh,0,Negative
103,"Bagus sih cuma kenapa ya lirik lagu b Inggris tuh gak ada? Padahal jaringan bagus, memori juga udah di kosongin, dan kenapa pas di puter tuh tiba-tiba keluar+lagunya berhenti terus? Ini gak cuma sekali tapi berkali-kali! Please benerin dong",0,Negative
104,Lebih asik sambil jalan .dgr musiknya,1,Positive
105,harus pake kuota klo ga ada kuota ia sama ajh ga bsa muter haha,0,Negative
106,Lagunya lengkap tapi kadang iklannya mengganggu banget sih tapi menurut ku wajar kan karna tidk berlangganan,0,Negative
108,aplikasi bagus tp sayang nya untuk ke premium knapa ga bisa ya selalu gagal dan coba lagi ..,0,Negative
109,Sangat bagus bisa atur kwalitas ...,1,Positive
110,Saya udah lenganan premium tp kenapa kalo stel musik berhenti sendiri gk jelas,0,Negative
111,Gw suka banget lagu A7X yang judulnya danger line apalagi pas bagian TIDAK DAPAT MEMUAT LIRIK UNTUK LAGU INI,0,Negative
112,Saya beri bintang 5 karna musik yg sudah di simpan ke favorit bisa di putar tanpa pakai paket,1,Positive
113,kenapa ya di hp invinix ga bisa pake data/kouta bisa nya pake wifi,0,Negative
114,"pas enak"" nyetel lagu yg di sukai, tiba"" muncul lagu aneh,,, kudu premium dlu kalo mau kembali ke semula,,, males ah apa"" hrs premium",0,Negative
115,"Tak kasih bintang 1 aja, nyebelin banget, kenapa sekarang kebanyakan lagu ""tidak dapat memuat lirik untuk lagu ini"" TOLONG KEMBALIKAN SPOTIFY YANG DULU",0,Negative
116,Aku kasih bintang 4 soalnya playlist gacha yg biasa aku pake ilang,0,Negative
117,"makin parah semenjak update tan Fitur lirik : menghilang sejak ada premium Kebanyakan orng pasti mengalami lag pada spotify,karna entah itu dari system atau gmn",0,Negative
118,Lagu nya bagus dan bisa didengar saat membuka aplikasi lain,1,Positive
119,"Bisa menemani anda dimana saja dan kapan saja, dapat di akses kapanpun dimana pun",1,Positive
120,Spotify ini sangat bagus buat orang yang LG galau termasuk aku yang sering galau jd aku selalu setel musik ya walaupun suka gak ada lirik tp yaudah deh GPP yang penting aku nyaman aja aku kasih bintang gak terhitung ya,1,Positive
121,"Spotify sekarang iklannya selalu double,,,secara ga langsung maksa pengguna biasa beralih ke premium,,,",0,Negative
122,Kok lagunya gak bisa di maju mundurin??,0,Negative
123,"Bagus, tapi agak bug, tolong di perbaiki ya🙏",0,Negative
124,Semua lagu ad emng cocok si di Spotify,1,Positive
125,Bagus sih tapi kadang ada aja yg kagak ada lirik nya,0,Negative
126,Saya sangat senang karena bisa mendengar musik secara offline,1,Positive
127,Updatenya 👎 Ubah ubah musik Mulu dan gak sesuai sama playlist,0,Negative
128,"Assalam maualaikum,saya mau ngasih tau kpd dev,pls deh saya kemaren udah bikin akun spotify,kok disuruh daftar lagi ya,padahal kemaren saya sudah daftar loh,Tolong ya spotify,jangan bikin emosi,Kemaren kan saya dah daftar,Mohon diperbaiki lagi,(maaf jika ada salah)",0,Negative
129,"Bagus, udah ada versi gratisnya wlo akses dan fasility terbatas, tpi oke.. Utk menikmati yg max bisa dgn versi premium, pilihan yg bijak..",1,Positive
131,Aplikasi nya sangat bagus untuk mendengar kan musik.,1,Positive
132,Saya senang dengan Spotify karena bisa mutar musiknya offline,1,Positive
133,Bagus mudah banyak lagunya dan bersih suaranya,1,Positive
134,lirik nya banyak yg ga keliatan min tolong di perbaiki ya,0,Negative
135,Kenapa sekarang susah utk alih premium (Hasil tdk dpt terhubung terus),0,Negative
136,Setiap mau membeli pake premium pasti selalu gagal alasannya karena jaringan. Tolong lah spoty diperbaiki lagi ke depannya. Satu hal lagi kembalikan spoty yang dulu huhuhu :( jadi ga bisa ngodein dia deh gara² ga ada lirik,0,Negative
137,"banyak amat si iklan nya mana klo pas iklan suaranya ngagetin trus besar bngtt, iya tauuu gw ga premium tpi ya minimal iklan nya cukup berberapa biji aja jngn 1 kali stel lagu iklan gitu seterusnya .",0,Negative
139,mau beli premium susah amat kebuka lalu close sendiri,0,Negative
140,"Maaf ya aku kasi 3 bintang aja dulu, soalnya baru downloat, kalau cocok aku tambah sampei full bintangnya.",0,Negative
141,Spotify kenapa lirik lagunya banyak yang gak muncul?tolong dong dimunculin lagi biar puas yang dengerin sambil baca liriknya,0,Negative
142,Aplikasi yang nyaman untuk mendengarkan musik dan poscast,1,Positive
143,"Sebenarnya udh bagus tapi kadang kalo mau nyetel lagu , ada tulisan ""pilih lagu untuk di putar lagi besok"" itu emang udah dari sananya ya?tapi seingat aku dulu mencet tombol ""tutup"" langsung bisa tapi ini ga bisa. Kalo udh di perbaiki aku kasih bintang. 5",0,Negative
144,"bagus , dan oke aku suka banget karena lagu lagu nya menarik dan menyenangkan aku suka sekali dengan aplikasi nya. 👌👌",1,Positive
145,Bagus aplikasinya bisa dapat uang duduk aja,1,Positive
146,Tidak seru dan banyak iklan terus,0,Negative
147,"Sportify yg sebelumnya di update sekarang lebih baik dari sekarang,sekarang tidak bisa mengurutkan lagu dan mengulang lagu,tolong developer di update yg lebih baik ya.kalo sudah lebih baik sy akan kasi 5 bntng🙏🙏🙏",1,Positive
148,"dulu sya pertama download aplikasi ini ngga sbnyak skrang ini lah iklan nya,skarang,bentar bentar iklan,,uda sma macam yotube aplikasi ini ku tengok",0,Negative
149,Kalau pakai spotify itu lebih seru dari pada yang lain,1,Positive
150,bagus si tapi banyak iklan katanya gak ada iklan,0,Negative
151,"Pelit banget njir kaga bebas milih lagu Masih mending kaga bisa download apa lah ini masa pingin nyetel lagu ""karena kamu"" eh munculnya ""komang"" kan gimana gitu harus banget premium kalau mau bebas di apk ini minimal yang gratis bisa milih lagu bebas tanpa acak kalau playlist gpp acak ini lagu biasa yang acak udah gak bisa download gak bisa skip gak bisa download iklan banyak definisi ""lo punya uang lo punya kuasa"" Saya harap yang gratis bisa menikmati lagu dengan bebas gak bisa download gpp",0,Negative
152,Tidak bisa login terus.. makin kesini makin kesana,0,Negative
153,"Perjalanan antar kota jadi tambah menyenangkan, diiringi musik dari sporty",1,Positive
155,bagus aku bisa dengerin lagu apa aja,1,Positive
156,"Aplikasi nya udah bagus bangett!! Lagu lagunya juga banyak,, tapi kebanyakan iklannya terus kadang liriknya juga kebanyakan suka ga muncul/ ga ada,, cuma itu aja sih menurutku,,",1,Positive
157,Sulit masuk ....daftar ...tak ada kuota paket....kemarin ...sportify...aktif..musik lancar...!.sekarang ....login daftar....,0,Negative
158,Keren bro bisa didengerin sambil di matiin atau buka aplikasi lain bisa 😃,0,Negative
159,Mendengarkan musik menjadi lebih enak dan simple,1,Positive
160,"Kebanyakan iklan, baru muter 2 lagu langsung iklan, kadang baru 1 lagu udh iklan, tolong perbaiki lah",0,Negative
161,"Aplikasinya jelek, saya dengerin lagu malah keinget dia 😭",0,Negative
162,"Beli premium gagal terus, perbaiki lagi aplikasinya",0,Negative
163,mau langganan kok malah gak bisa aneh,0,Negative
165,"saran, kalo bisa iklannya jangan banyak², trus lirik lagunya kebanyakan ilang",0,Negative
166,"Maaf sya kasih rate 4 dlu ya soalnya fitur masih kurang, tpi yg lain udh bagus kok🙏",0,Negative
167,"Serba premium semua, mau dengerin musik dengan cara kualitas rendah harus premium juga, woilah yang bener aja? Yang gk premium harus dengerin musik kualitas tinggi yg dimana nguras banyak data....mana sering lag lagunya padahal main game lain lancar",0,Negative
168,"Makin kesini makin ga jelas,beberapa Lagu yg ada liriknya malah ga ada Liriknya yg ada malah tulisan ""Tidak bisa memuat lirik."" Padahal sinyal ku Bagus dan stabil, Gajelas bngt. Trs fitur baru nya Aneh dan gj juga, Ak tadi mau Nambahin lagu ke playlist tpi ga ada, malahan Lagu itu kehapus di playlist lain. Bisa diperbaiki dan kembalikan fitur nambahin playlist yg dulu bisa ga sih? Ribet amat. apa-apa jadi susah.",0,Negative
169,"Aplikasi musik ini luar biasa! Koleksi lagu yang luas, antarmuka yang ramah pengguna, dan kemampuan membuat playlist dengan mudah membuat pengalaman mendengarkan musik menjadi sangat menyenangkan. Kualitas suara yang jernih dan opsi offline membuatnya menjadi pilihan utama saya untuk menikmati musik kapan pun dan di mana pun.",1,Positive
170,"Kenapa yak, semenjak update tidak bisa menambah kan lagu ke daftar lagu yang disukai, padahal dulu bisa, makin update makin banyak aja ini bug, tolong lah perbaiki lagi bug nya sangat menggangu.",0,Negative
171,"nyari lagu yg ketemu pada playlist walaupun tulisannya bukan playlist tetap aja yg di putar berbeda, yang di cari apa yg diputar apa aduh....",0,Negative
173,Spotify sekarang susah mau beli paket premium aja susah katanya ada kesalahan jaringan lah ini lah padahal udh aku cek jaringannya bagus kok,0,Negative
174,"Lagu jimin tidak muncul di daftar putar ""album yang disukai"" kenapa?",0,Negative
175,"Klo kuota sdg tdk ada sebagian lagu yg sdh ada di play list tdk bisa di putar,namun tuk kualitas audio ok.",1,Positive
176,Setelah update makin gak jelas bagusan yang dulu,0,Negative
177,"Kenapa akhir"" ini banyak lagu yang liriknya ga bisa dimuat si? Padahal dulu ga ada masalah kaya gini, dan jaringanku bener"" ga ada masalah kok",0,Negative
179,"aneh bgt sumpah, setiap login selalu salah password/username. padahal udh bener bgt, trs coba ganti password dan login lagi ttp salah. aneh bgt!! jadi setiap login harus lewat link yg dikirim lewat email. aneh bgt spotify sumpah!!!!!",0,Negative
180,Maaf kadang ada bug nih padahal pemutar lagu random itu berbayar kok saya ada juga ga bisa diulang putaran lagu nya nah terus karna ada putaran lagu random saya denger langunya sampai ke rekomendasi,0,Negative
181,Aplikasi yang baik yg dapat memenuhi keinginan konsumen 💕👍👍👍,1,Positive
182,"Spotify,tolong lah saya tau klo saya bkn pengguna premium tpi iklanny jgn yg horor jg napa😭kan kaget tgh mlm tiba² denger kantong mayat",0,Negative
183,Jelas and sportify.suka banget dg aplikasi ini..makasih.,1,Positive
184,Bagus Dan Mantap.tapi Gak Bisa Di dengerin office Kan udah Di koleksi?????,0,Negative
185,Knp pas saya buka apk nya langsung mode offline? padahal udh di matiin.,0,Negative
186,"SANGAT MENGGANGGU!! Iklan mengenai podcast, tarik kantung mayad!! Dan juga volume iklan yang tibatiba sangat keras. Tolong tema iklan nya diganti dan diperbaiki lagi!! Bintang 1 sudah cukup untuk saat ini.",0,Negative
187,"Lagu-lagunya update bgt, suka sama sptify",1,Positive
188,Lagu lagu nya enak apa lagi lagu Boan cikadap coba deh donlod baru cari lagi boan cikadap seru,1,Positive
190,Kenapa harus premium semua. satu lagi.kenapa ada batas lagu badahal lagu nya dah bgus2 !!!!,0,Negative
191,Enak buat dengerin lagu sambil belajar!!,1,Positive
192,"iklan, lirik sering tidak memuat padahal internet lancar. Tapi overall bagus.",0,Negative
193,"banyak iklan gapapa sih, tapi boleh gak, gak usah iklan yang horor horor",0,Negative
194,"Mau premium, tapi kenapa selalu coba lagi dan berakhir coba lagi.. dulu gampang skg loadingnya lama. Tolong perbaiki.. gagal terus ke premium.. padahal gencar banget iklannya di tengah² lagu, supaya kita premium.. perbaiki ya.. liriknya dan terjemahan kemaren bagus komplit, knp skg lirik nya malah pada ilang lagi .. why sbg penikmat lagu di spotify agak kecewa.. yuk perbaiki",0,Negative
195,Saya suka mendengar musik di sini sangat menyenangkan 😊😊😊🎶,1,Positive
197,"Sudah bgus,tp skrng kalo gk premium gk bisa d atur2 lgi equaliser dll",0,Negative
198,"Bagus apknya Akan tetapi minusnya:1.gak ada liriknya,cuma lagu2 tertentu yang ada liriknya.. Apalagi lagu2 yg kusuka malah gak ada liriknya jadi kurang seru 2.gak ada pilihan ngulang lagu (padahal dulu ada) 3.iklan mulu tiap ganti lagu 4.lemot/lola padahal wifi ku cepet",0,Negative
199,keren bagus bgt....wajib punya ini di hp kamu..,1,Positive
200,"Dikit dikit iklan,setiap lagu iklan udh gitu iklan nya lama,biar disuruh berlangganan jadi ketauan ngambil keuntungan👎pindah ke aplikasi lain aja lah",0,Negative
201,Premium udah ngak ada yang ada pertalite😅😅😅😅,0,Negative
202,banyak iklan yang serem jadi takut mau play lagu kalo malem,0,Negative
203,Aplikasi ga jelas masa iklan sampe 7× mau dengerin musik aja ribet,0,Negative
204,Sering banget saya dapat iklan jadi kurang puas saya,0,Negative
205,Mengapa iklan yang jadi banyak sekali jadi karena setiap 2 lagu wajib ada iklan paling kesel deh kalau ada iklan 30 detik di setiap 2 musik aku kan lama-lama jadi gak tahan kalau ada iklan terus spotify tolong memperkembangkan lagi ya iklannya dikurangin kalau iklannya dikurangin aku kasih bintang 5 dan juga jangan terlalu maksain buat membeli premium karena kebanyakan belum mempunyai uang. Semoga spotify dapat diperkembangkan lagi Dan tolong di setiap lagunya harus ada liriknya.,0,Negative
206,"Spotify kenapa ya? Tiap saya logout pas mau login lagi tuh selalu muncul tulisan ""coba lagi"" terusss, padahal email sama sandi nya benar dan jaringan nya juga lancar. Akhir nya saya harus bikin akun baru lagi, ngeselin.",0,Negative
207,"di daftar play list kok ganti hanya beberapa detik doang lagu yang bisa diputar,mohon bantuannya soalnya banyak lagu favorit saya 😗😗😗😗",0,Negative
209,Iklan sangat pas di saat musik terhenti atau di saat perpindahan lagu asalkan jangan di pertengahan lagu. Fungsi² bagus semua. Pertahankan ya😊. Tambahan : Meskipun tidak menggunakan fitur premium tapi tetap masih bisa menikmati aplikasi ini dengan banyak kelebihan. Tidak seperti aplikas pemutar musik online yang lainnya. Pertahankan ya☺️,1,Positive
210,"RUSAK,UDAH RUSAK. Harus premium kalo mau puter lagu selanjutnya? Gila kalian? Gk semua orang punya duit!! Kalo bisa posting tanpa ngasih bintang,udah ku lakuin dari kemaren",0,Negative
211,Aplikasi ini bagus tapih banyak iklan,1,Positive
214,ada beberapa lagu yg tidak ada liriknya,0,Negative
215,bagus sih tapi banyak iklan kalo g langganan,0,Negative
216,"Maksa bet harus beli premium mana iklannya ngk ngotak lagi,benerin dikit dong biar bagus😭😭",0,Negative
217,"tolong kembalikan lirik Spotify seperti dulu, ga adil kalau yang bisa lihat lirik cuman yang premium",0,Negative
218,Lagunya suara bagus... Pilihan banyak dan lengkap,1,Positive
220,Saya suka sekali dengan lagu lain lain nya makasih sudah bantu saya suka sekali 🥰🥰🥰🥰🥰🥳🤩 saya kasih bintang 🌟🌟🌟🌟🌟 5 terima kasih 🥳🤩🤩,1,Positive
221,Apk yg keren buat dengerin musik,1,Positive
222,Sangat vocok buat sy sebagai penikmat music. Susra ny sangat jernih,1,Positive
223,Sangat berguna sbgai penikmat musik spertiku,1,Positive
224,Aplikasi bagus bangat buat dengerin music lengkap musicnya mantap is the best pokonya,1,Positive
225,"Bagus si, tapi knp iklan nya malah menjadi jadiii, malah ngaa mood saya buka Spotify sumpaa gretenn bgtt, lagi nangis karena lagunya malah di jeda iklan😭😭😭",0,Negative
226,Untuk lagu lama yg hits dan masih enak di dengar,1,Positive
231,"versi terbaru tidak bisa untuk memasukan lagu yang sama di dalam playlist, jika centang dihilangkan lagu akan hilang dari playlist tersebut, tolong ubah fitur seperti semula, saya perlu streaming lagu tersebut berulang kali di dalam playlist. jika sudah benar akan saya kasih bintang 5",0,Negative
232,Yah itu kalo mau bebas tanpa iklan kudu premium 😉,1,Positive
233,"Tombol download lagunya mana sih, udah premium juga",0,Negative
236,"Sebelumnya saya pernah uninstall aplikasi ini di HP krn tdk bisa keluarkan lirik untuk bisa berkaraoke sambil mendengarkan lagu. Suatu waktu coba install kembali dan sangat gembira sdh ada fasilitas lirik lagu. Sangat puas, ditunggu pengembangan lebih lanjut seperti mengecilkan suara asli menjadi benar² layaknya berkaraoke.",1,Positive
238,"minimal 5 lagu baru iklan , ini baru satu kali putar lagu , iklan lagi. kesannya cari untung banget.",0,Negative
239,Aplikasi putar musik Spotify luar biasa bagus sekali,1,Positive
240,Banyak iklan masa dengarin lagi muslimah harus iklan kalo kayak kristen GK iklan apa lagi premium nya mahal,0,Negative
241,Saya tidak suka aplikasi ini karena iklan,0,Negative
242,Tolong yang gak ada liriknya diberi tanda ini tertulis lirik tapi gak ada liriknya,0,Negative
243,Aplikasi nya bagus dan menarik dan biasanya kok gk ada lirik nya ya setiap lagu jadi tolong di tingkat kan lagi,0,Negative
244,"Pilihan lagu lengkap, kualitas audio ok, canvas yang menyenangkan, lirik untuk bernyanyi, playlist yang dipreferensi secara pribadi.",1,Positive
